Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Pankreatit,kusma,karın ağrısı,mide bulantısı,ağrı,ishal
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Tip 1 Diyabet,sık idrara çıkma,artan susuzluk,kilo kaybı,,
Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,aile öyküsü
Salmonella,ateş,ishal,karın krampları,mide bulantısı,kusma
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
İskemi,göğüs ağrısı,nefes darlığı,uyuklama,göğüste baskı,göğüs rahatsızlığı
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Morbid Obezite,nefessiz kalma,hareketsizlik,göğüs ağrısı,öksürük,mutsuz
Lösemi,yorgunluk,soluk cilt,sık enfeksiyonlar,kolay kanama veya morarma,
Migren,şiddetli baş ağrısı, mide bulantısı, kusma, ışığa duyarlılık, sese duyarlılık
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Atopik Dermatit,kaşıntı,kırmızı,iltihaplı cilt,,
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Nötropeni,morarma,dalak büyümesi,gece terlemesi,düşük ateş,doku bozukluğu
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Hemolitik Anemi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,sarılık
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı
Gastroenterit,kusma,ishal,çökmüş gözler,dehidrasyon,mide bulantısı
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Farenjit,boğaz ağrısı,yutma güçlüğü,şişmiş lenf düğümleri,,
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Obezite,ağrı,donakalmak,horlama,göğüs ağrısı,r dalgası özelliği
Hiperglisemi,dokununca acıma,kaşıntı,garip hissetmek,püstül,omuz ve yüz arasında pembe ve mor noktalar
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Romatizmal Eklem İltihabı,ağrı,şişme,eklemlerde kısıtlılık,,
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Kızamık,ateş,öksürük,burun akması,kırmızı gözler,boğaz ağrısı
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Sıtma,üşümek,kusma,terlemek,baş ağrısı,kas ağrısı
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Osteomiyelit,ağrı,kızarıklık,prostat hassaslığı,ateş,idrarı yapma zorluğu
Mesane Bozukluğu,sık idrara çıkma,aciliyet,pelvik ağrısı,,
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Kolon Kanseri,dışkı alışkanlıklarında değişiklik,ishalimsi,kabızlık,dışkı azalması,dışkıda kan
Mitral Kapak Yetmezliği,nefes darlığı,eforla nefes darlığı,semptom vermeyen,hamlık,baygınlık
Bronşit,nefes darlığı,öksürük,hırıltı,mukus üretimi,göğüs ağrısı
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Periferik Damar Hastalığı,nefes darlığı,dinlenirken ağrı durumu,göğüs ağrısı,tepkisizlik,hiperkalemi
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Paroksismal Dispne,nefes darlığı,dik durma haricinde nefes darlığı,eforla nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,
Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
Hemoroid,kanama,azalan bağırsak sesleri,dışkı miktarında azalma,mide bulantısı ve kusma,açlık
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Göz Nezlesi,kırmızı,kaşıntı,gözlerde sulanma,,
Siroz,karın şişmesi,yorgunluk,sarılık,kolay morarma ve kanama,bilinç bulanıklığı
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
Depresyon,üzüntü,umutsuzluk,aktivitelere ilgi kaybı,iştahtaki değişiklikler,uyumak
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,yorgunluk,eforla nefes darlığı,pansistolik üfürüm
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
Diyabet,sık idrara çıkma,yorgunluk,iştah artışı,kilo kaybı,huzursuzluk
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Obezite,ağrı,donakalmak,horlama,göğüs ağrısı,r dalgası özelliği
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Yüksek Ateş,yüksek vücut ısısı,,,,
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm
Üst Solunum Yolu Enfeksiyonu,nefes darlığı,öksürük,boğaz ağrısı,hırıltı,zor nefes alma
Malign Neoplazmalar,vücut yapısının büyümesi,doku bozukluğu,kalınlaşmak,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,
Adet Öncesi Gerginlik Sendromu,ruh halinde ani değişimler,şişkinlik,göğüslerde hassasiyet,sinirlilik,
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Kan Zehirlenmesi,ateş,solunumda zayıflık,tansiyon düşüklüğü,çok hızlı solunum,üşümek
Kronik Kolestaz,kaşıntı,kusma,sarımsı cilt,mide bulantısı,iştah kaybı
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,aile öyküsü
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar
Kronik Böbrek Hastalığı,yorgunluk,nefes darlığı,şişme,yüksek tansiyon,idrara çıkma değişikliği
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Pyelonefrit,ateş,üşümek,ağrı,idrar tutamama,kanlı idrar
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Hemolitik Anemi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,sarılık
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Paranoya,işitsel halüsinasyonlar,görsel halüsinasyonlar,ajitasyon,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Karaciğer Hücrelerinin Primer Karsinomu,vücut yapısının büyümesi,dalak büyümesi,doku bozukluğu,felç,tümör hücresinin yayılması
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Morbid Obezite,nefessiz kalma,hareketsizlik,göğüs ağrısı,öksürük,mutsuz
Mitral Kapak Yetmezliği,nefes darlığı,eforla nefes darlığı,semptom vermeyen,hamlık,baygınlık
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Diş Çürüğü,diş ağrısı,diş hassasiyeti,dişlerde görünür çukurlar veya delikler,dişlerdeki koyu lekeler,ağız kokusu
Nötropeni,morarma,dalak büyümesi,gece terlemesi,düşük ateş,doku bozukluğu
Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Üst Solunum Yolu Enfeksiyonu,nefes darlığı,öksürük,boğaz ağrısı,hırıltı,zor nefes alma
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,
Üretral Valfler,zorlu veya zayıf idrar akışı,idrar yolu enfeksiyonları,idrar sıklığı veya aciliyet,karın şişliği,sağlıksız kilo alımı
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Fıtık,karın ağrısı,ağrı,normalden daha hızlı ve derin nefes alma,dayanılmaz acı,mide bulantısı
Hiperkolesterolemi,nefes darlığı,ağrı,göğüs ağrısı,ter,sigara içmemek
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Anksiyete Bozukluğu,aşırı endişe,korku,günlük yaşamı etkileyen kaygı,,
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Soğuk Algınlığı,burun akması,tıkanıklık,öksürük,balgam,boğaz tahrişi
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,
Üst Solunum Yolu Enfeksiyonu,nefes darlığı,öksürük,boğaz ağrısı,hırıltı,zor nefes alma
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma
Panik Atak,nefes darlığı,çarpıntı hissi,göğüs ağrısı,terlemek,titreme
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Bilinç Bulanıklığı,nöbet geçirmek,idrar tutamama,rehavet,konuşma bozukluğu,düşmek
Diş Çürüğü,diş ağrısı,diş hassasiyeti,dişlerde görünür çukurlar veya delikler,dişlerdeki koyu lekeler,ağız kokusu
Geçici İskemik Atak,konuşma bozukluğu,dizartri,kısmi yüz felci,bitkinlik,boyun tutulması
Kardiyomiyopati,nefes darlığı,dik durma haricinde nefes darlığı,hamlık,juguler venöz dolgunluk,çarpıntı
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Hipertiroidizm,kas güçsüzlüğü,sinirlilik,anormal adet kanaması,yorgunluk,ruh halinde ani değişimler
Kötü Huylu Kolon Tümörü,doku bozukluğu,prostatizm,kabızlık,genel rahatsızlık,ishal
Sanrı,bilinç kaybı,değişken ruh hali,umutsuz hissetmek,ajitasyon,işitsel halüsinasyonlar
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Obezite,ağrı,donakalmak,horlama,göğüs ağrısı,r dalgası özelliği
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Şizofreni,işitsel halüsinasyonlar,aşırı uyku hali,sinirli ruh hali,sözlü ve işitsel halüsinasyonlar,hastanın karşı gelmesi
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
İleus,bakterital apse,akut batın,hava sıvı seviyesi,nefes almak,karın hassasiyeti
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Analjeziklere Bağlı Zehirlenme,mide bulantısı,kusma,karın ağrısı,baş dönmesi,bilinç bulanıklığı
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Selülit,deri kızarıklığı,ağrı,şişme,kızarıklık,ateş
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Bağımlılık,sarhoşluk,titreme,ajitasyon,intihara meyilli,evsizlik
Diyabet,sık idrara çıkma,yorgunluk,iştah artışı,kilo kaybı,huzursuzluk
Divertiküloz,dışkının idrarda bulunması,kabızlık,bakterital apse,hem pozitif,denge kaybı
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Epilepsi,kas seğirmesi,nöbet geçirmek,metabolizmanın yavaş çalışması,duyuları etklieyen belirti,uyuklama
Fıtık,karın ağrısı,ağrı,normalden daha hızlı ve derin nefes alma,dayanılmaz acı,mide bulantısı
İdrar Kaçırma,kısmi felç,nöbet geçirmek,bitkinlik,idrar kaçırma hissi,bilinçsiz durum
Tip 2 Diyabet,yorgunluk,artan açlık,yaraların yavaş iyileşmesi,,
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
Hiperbilirubinemi,siyanoz,çok hızlı solunum,para test 1,düşük nabız,makat prezantasyonu
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,
İyi Huylu Prostat Hipertrofisi,ruhsal durum değişiklikleri,kansızlık ve kilo kaybı,bayılma,ortostaz,dik durma haricinde nefes darlığı
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Kötü Huylu Kolon Tümörü,doku bozukluğu,prostatizm,kabızlık,genel rahatsızlık,ishal
Trombositopeni,ezik,kanda monosit artışı,beyin omurilik sıvısı akıntısı,kanama,çok hızlı solunum
Hemartroz,eklem şişmesi,ağrı,sıcaklık,sınırlı hareket açıklığı,
Bronşiyal Astım,yorgunluk,öksürük,yüksek ateş,nefes darlığı,aile öyküsü
Anemi,yorgunluk,nefes darlığı,baş dönmesi,soluk cilt,denge kaybı
Periferik Arter Hastalığı,ağrı,uyuşukluk ve hissizlik,kollarda veya bacaklarda karıncalanma,,
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Atopik Dermatit,kaşıntı,kırmızı,iltihaplı cilt,,
Hipertansiyon,baş ağrısı,göğüs ağrısı,baş dönmesi,denge kaybı,konsantrasyon eksikliği
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Üretral Valfler,zorlu veya zayıf idrar akışı,idrar yolu enfeksiyonları,idrar sıklığı veya aciliyet,karın şişliği,sağlıksız kilo alımı
Kronik Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı,öksürük
Kıl Kurdu Enfeksiyonu,anüs veya vajina çevresinde kaşıntı,huzursuz uyku,sinirlilik,anal veya vajinal akıntı,karın ağrısı veya rahatsızlık
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Karsinom,vücut yapısının büyümesi,ağrı,doku bozukluğu,tümör hücresinin yayılması,kalınlaşmak
Yüksek Ateş,yüksek vücut ısısı,,,,
Üretral Valfler,zorlu veya zayıf idrar akışı,idrar yolu enfeksiyonları,idrar sıklığı veya aciliyet,karın şişliği,sağlıksız kilo alımı
Malign Neoplazmalar,vücut yapısının büyümesi,doku bozukluğu,kalınlaşmak,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Aort Anevrizması,aort duvarındaki çıkıntı,vücuttaki en büyük arter,,,
Adet Öncesi Gerginlik Sendromu,ruh halinde ani değişimler,şişkinlik,göğüslerde hassasiyet,sinirlilik,
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Grip,ateş,boğaz ağrısı,baş ağrısı,öksürük,burun akıntısı veya tıkalı burun
Kızıl Hastalığı,boğaz ağrısı,ateş,döküntü,şişmiş bezler,
Sanrı,bilinç kaybı,değişken ruh hali,umutsuz hissetmek,ajitasyon,işitsel halüsinasyonlar
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
Nöropati,bitkinlik,uyuşukluk ve hissizlik,mide bulantısı ve kusma,erken uyanmak,plevral boşluğun hava ve sıvı ile dolması
Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,
Huzursuz Bağırsak Sendromu,karın ağrısı,şişkinlik,kabızlık,ishal,
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Burun Apsesi,ağrı,şişme,kızarıklık,burun akıntısı,
Kronik Alkol Zehirlenmesi,titreme,işitsel halüsinasyonlar,intihara meyilli,zula,sinirli ruh hali
Grip,ateş,boğaz ağrısı,baş ağrısı,öksürük,burun akıntısı veya tıkalı burun
Huzursuz Bağırsak Sendromu,karın ağrısı,şişkinlik,kabızlık,ishal,
İshal,ishal,sulu dışkı,,,
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Peptik Ülser,karın ağrısı,kısmi felç,mide bulantısı,kusma,birden fazla kasta ağrı
Böbrek Yetmezliği,nefes darlığı,yorgunluk,dik durma haricinde nefes darlığı,idrar tutamama,tansiyon düşüklüğü
Kolon Kanseri,dışkı alışkanlıklarında değişiklik,ishalimsi,kabızlık,dışkı azalması,dışkıda kan
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,
Peptik Ülser,karın ağrısı,kısmi felç,mide bulantısı,kusma,birden fazla kasta ağrı
Ülseratif Kolit,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Pamukçuk,ishal,boğaz ağrısı,vücut ağırlığının azalması,üşümek,baş ağrısı
Paroksismal Dispne,nefes darlığı,dik durma haricinde nefes darlığı,eforla nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,
GERD,karın ağrısı,asitlik,dildeki ülserler,kusma,öksürük
Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,
Koroner Arterioskleroz,göğüs ağrısı,nefes darlığı,hamlık,ter,göğüste baskı
Miyokardiyal Enfarktüs,göğüs ağrısı,nefes darlığı,st segment yükselmesi,ter,st segment depresyonu
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
